	Adrenal-exp_g	Adrenal-exp_n	Adrenal-exp_t	Adrenal-l2fc_gtex	Adrenal-l2fc_normal	Adrenal-num_g	Adrenal-num_n	Adrenal-num_t	Bladder-exp_g	Bladder-exp_n	Bladder-exp_t	Bladder-l2fc_gtex	Bladder-l2fc_normal	Bladder-num_g	Bladder-num_n	Bladder-num_t	Brain-exp_g	Brain-exp_n	Brain-exp_t	Brain-l2fc_gtex	Brain-l2fc_normal	Brain-num_g	Brain-num_n	Brain-num_t	Breast-exp_g	Breast-exp_n	Breast-exp_t	Breast-l2fc_gtex	Breast-l2fc_normal	Breast-num_g	Breast-num_n	Breast-num_t	Colon-exp_g	Colon-exp_n	Colon-exp_t	Colon-l2fc_gtex	Colon-l2fc_normal	Colon-num_g	Colon-num_n	Colon-num_t	Esophagus-exp_g	Esophagus-exp_n	Esophagus-exp_t	Esophagus-l2fc_gtex	Esophagus-l2fc_normal	Esophagus-num_g	Esophagus-num_n	Esophagus-num_t	Kidney-exp_g	Kidney-exp_n	Kidney-exp_t	Kidney-l2fc_gtex	Kidney-l2fc_normal	Kidney-num_g	Kidney-num_n	Kidney-num_t	Liver-exp_g	Liver-exp_n	Liver-exp_t	Liver-l2fc_gtex	Liver-l2fc_normal	Liver-num_g	Liver-num_n	Liver-num_t	Lung-exp_g	Lung-exp_n	Lung-exp_t	Lung-l2fc_gtex	Lung-l2fc_normal	Lung-num_g	Lung-num_n	Lung-num_t	Pancreas-exp_g	Pancreas-exp_n	Pancreas-exp_t	Pancreas-l2fc_gtex	Pancreas-l2fc_normal	Pancreas-num_g	Pancreas-num_n	Pancreas-num_t	Prostate-exp_g	Prostate-exp_n	Prostate-exp_t	Prostate-l2fc_gtex	Prostate-l2fc_normal	Prostate-num_g	Prostate-num_n	Prostate-num_t	Skin-exp_g	Skin-exp_n	Skin-exp_t	Skin-l2fc_gtex	Skin-l2fc_normal	Skin-num_g	Skin-num_n	Skin-num_t	Stomach-exp_g	Stomach-exp_n	Stomach-exp_t	Stomach-l2fc_gtex	Stomach-l2fc_normal	Stomach-num_g	Stomach-num_n	Stomach-num_t	Testis-exp_g	Testis-exp_n	Testis-exp_t	Testis-l2fc_gtex	Testis-l2fc_normal	Testis-num_g	Testis-num_n	Testis-num_t	Thyroid-exp_g	Thyroid-exp_n	Thyroid-exp_t	Thyroid-l2fc_gtex	Thyroid-l2fc_normal	Thyroid-num_g	Thyroid-num_n	Thyroid-num_t	Uterus-exp_g	Uterus-exp_n	Uterus-exp_t	Uterus-l2fc_gtex	Uterus-l2fc_normal	Uterus-num_g	Uterus-num_n	Uterus-num_t	l2fc_gtex	l2fc_normal
MME	4.59141366115		3.41592379752	-1.17497636253		125	0	76	8.37838400846	9.70275846824	10.1671833591	1.78879935067	0.464424890891	9	19	407	5.64579684816	5.38054586451	5.19261204405	-0.453184804111	-0.187933820461	929	5	689	10.9694523852	13.5574917582	9.60180394204	-1.36764896779	-3.95574780586	178	112	1097	4.91035023668	7.21731202382	8.89763611029	3.98728610106	1.68032431392	303	51	382	5.50759758891	6.83486100491	8.83449615993	3.32690150121	1.99404685179	271	12	182	12.1529237522	13.4553177544	12.6259008172	0.472977064929	-0.830225602625	27	72	529	10.5394512017	11.1822183628	7.85778187549	-2.68207219587	-3.32449496777	110	50	371	10.6082888199	12.7352187389	8.94033560903	-1.66795321086	-3.79488312986	287	59	515	5.11453579002	8.8615617543	9.171756192	4.05722040198	0.26649928994	165	4	179	11.2114322375	13.578060871	12.0273093199	0.815867371954	-1.55075155112	100	51	495	7.30137514362	6.78223795706	9.00275148066	1.70137243013	2.2205135236	556	1	467	6.06629790544	8.21625499111	8.7282465181	2.66194861266	0.50538776139	173	36	413	6.29140185247		9.82829607378	3.53691602615		165	0	154	6.33070251843	6.24092386885	6.34673228039	0.0160546533464	0.10585282515	278	59	512	6.04780127731	10.1673717875	7.47684837441	1.42901712047	-2.69052341308	78	23	181	1.12244224621	-0.509079711543
SEMA4D	10.0902793322		9.98219833662	-0.108080575742		125	0	76	9.66407155882	11.3995076793	10.8765703605	1.21249880165	-0.522937318866	9	19	407	11.8300130682	12.229618306	11.1368114867	-0.693201581512	-1.09280681929	929	5	689	8.68192783128	10.1789741699	10.5077909635	1.8258626187	0.328812273616	178	112	1097	9.01212651191	10.6766752777	11.0647892298	2.05266277226	0.388114006483	303	51	382	11.0653147735	11.3858619345	11.179350441	0.114041947857	-0.209389417578	271	12	182	11.2477080838	11.2742722968	11.6704208666	0.422712782713	0.396072087358	27	72	529	8.63295977855	8.19780066193	8.25402920427	-0.379039101256	0.0561841508397	110	50	371	10.3173886612	11.2600213228	11.4671370563	1.1497483951	0.207115733523	287	59	515	9.48975146717	12.0012064854	11.6035401152	2.11378864805	-0.432236399934	165	4	179	10.0389509969	10.8374845381	10.7425138284	0.703557173569	-0.094970709678	100	51	495	10.4636603713	11.3519110567	9.90351068241	-0.560149698365	-1.44840037426	556	1	467	10.2763744133	11.210116228	11.0916000188	0.815225605503	-0.119259498259	173	36	413	10.0823738243		11.3769371237	1.29458252458		165	0	154	10.055919512	11.1247697273	10.9824517998	0.92653007676	-0.142317879361	278	59	512	9.0123312863	10.915298283	11.2322934655	2.2199564756	0.316995182534	78	23	181	0.870877841131	-0.13078868881
CD101	5.37920130252		5.25823810761	-0.120962945863		125	0	76	4.78380995441	6.95944486332	6.3206211529	1.5368111985	-0.638823710412	9	19	407	4.48403664801	6.38291556426	6.0165637222	1.53252707419	-0.366351842058	929	5	689	4.23366037058	5.96623331645	6.33073266516	2.09699197549	0.364477291905	178	112	1097	5.94141255112	7.6832101074	6.23738258067	0.295991402769	-1.44580615351	303	51	382	5.44506081713	6.39050703179	7.19601567917	1.75099960413	0.789945236752	271	12	182	4.03260679621	4.46503803347	6.71818907911	2.6855822829	2.25315035428	27	72	529	4.56870534132	4.90731433616	5.33574237299	0.76702256298	0.423689986506	110	50	371	6.82666695673	10.380532397	7.51859649171	0.691929534973	-2.86193590533	287	59	515	5.76042932843	8.3223903828	7.41961567321	1.65918634479	-0.902786233591	165	4	179	5.42266670704	6.1291908041	5.78560018383	0.362929840805	-0.34359062027	100	51	495	5.44690433144	6.6836382247	6.12523537234	0.678330957086	-0.558402852354	556	1	467	5.45684531554	6.99398176467	6.89937264009	1.44252732454	-0.0955501706814	173	36	413	4.93587496442		6.68476733562	1.74890757515		165	0	154	4.37627628328	5.32679038987	5.92583219672	1.54955409846	0.599044573148	278	59	512	5.31368489821	6.30060617188	6.90380648249	1.5901039419	0.603200310609	78	23	181	1.53466913634	-0.354971231164
ICAM2	7.54853118135		8.77026856049	1.22177840203		125	0	76	8.21493003325	10.6121163377	9.32106252349	1.10613249024	-1.29105381423	9	19	407	8.90568167286	7.85205782437	8.64179224181	-0.26388943105	0.78973441744	929	5	689	10.2334615575	10.3067026908	8.97093106545	-1.26253126183	-1.33577368993	178	112	1097	8.54996227274	9.94229873169	9.32404741409	0.774120098254	-0.6182163607	303	51	382	7.33787052301	8.49790933315	8.3388095919	1.00101016057	-0.177449835842	271	12	182	9.22093541867	9.84261624027	11.0512251654	1.83028974676	1.20860737259	27	72	529	7.69062380483	8.92146497854	9.56706230317	1.87635194813	0.645592560172	110	50	371	10.6720316641	11.8778872215	10.2920029465	-0.380028717607	-1.58588427508	287	59	515	8.11792202271	10.9645299896	10.6409973079	2.52307528515	-0.47911258668	165	4	179	8.04138394105	8.68161212944	8.18217356641	0.140777620734	-0.499438563035	100	51	495	8.2178639997	10.7153077981	8.29263560249	0.0747700319027	-2.42267219561	556	1	467	8.29074721558	9.99765805778	9.41167682169	1.12092960611	-0.586018143776	173	36	413	6.30117407516		8.82841897901	2.52724490784		165	0	154	9.17004086658	9.26284002284	10.2787220785	1.10868134423	1.01588240252	278	59	512	8.89424771892	10.752350161	9.30191290727	0.407646868285	-1.45043725368	78	23	181	1.0535713254	-0.602117252238
ITGAE	8.51829525718		8.92272481218	0.404429960744		125	0	76	8.13450246	9.71614413398	9.62332744439	1.4888249844	-0.0928166895912	9	19	407	8.85767350114	8.60854920346	9.19675509722	0.339081596084	0.588205893756	929	5	689	8.15480093335	8.94747869918	9.0511036344	0.896302696317	0.103624846469	178	112	1097	8.33354819109	9.57082023596	9.1741459372	0.84059958869	-0.396672456179	303	51	382	8.51052037287	9.39854317042	9.48651282859	0.975992467345	0.0847653966575	271	12	182	8.45803035126	8.10800414078	8.88470439425	0.426674042986	0.776689827477	27	72	529	7.92819485447	7.41210021413	8.34241606525	0.414219535222	0.93029490387	110	50	371	8.64964095099	10.4929607682	9.85290172192	1.20326077093	-0.640059046267	287	59	515	7.75641364577	10.15372396	9.76300165954	2.00658801377	-0.424560108146	165	4	179	8.45257599571	9.18984372689	8.99233899298	0.539740152635	-0.197504733906	100	51	495	7.77134292683	9.92615958476	9.06454936123	1.29320616512	-0.861610223525	556	1	467	8.38118085966	9.49680010475	9.46966815001	1.08848729035	-0.0272377006713	173	36	413	8.53606514844		8.87662060962	0.34055928777		165	0	154	8.00448198269	8.82575603231	8.96734304598	0.962857926905	0.141587508063	278	59	512	8.0763989111	9.34392415102	9.63022707543	1.55382815744	0.286302924406	78	23	181	0.929580311611	-0.0600271951312
ITGB4	7.19914666198		6.93884311847	-0.260004314694		125	0	76	11.9276347821	13.9869041438	14.6995410306	2.77190624851	0.712636886801	9	19	407	10.7568273909	10.9900513072	11.4936182939	0.736790902996	0.50356698672	929	5	689	11.7973864228	13.0899240672	12.3033714761	0.5059698168	-0.786554457809	178	112	1097	11.8812636879	14.1966399787	14.1885419071	2.30728041493	-0.00809587589136	303	51	382	12.2825444719	13.6254737434	15.3969347228	3.1144418514	1.76798927956	271	12	182	9.74751138909	10.3606943459	11.3421250002	1.59461361111	0.98036691433	27	72	529	7.51304520829	8.03020557169	9.10730011816	1.59411574612	1.07708418481	110	50	371	9.91461051918	12.1152670506	13.2594913747	3.34488085552	1.14422432415	287	59	515	10.0231586346	13.2521120923	14.9852170828	4.96205844821	1.69578104141	165	4	179	11.9787198374	12.6201872459	11.2694138598	-0.70930777169	-1.35077338612	100	51	495	13.3745154798	9.84008036915	9.12770131904	-4.24681451593	-0.712379050116	556	1	467	11.8224887811	13.8180934305	14.5946806638	2.77219188274	0.776025031768	173	36	413	7.71727285752		9.8055809476	2.08830834798		165	0	154	9.78846555527	10.2835821021	12.2316960024	2.44322932765	1.94811396283	278	59	512	10.5536670103	12.3762308886	12.2505345117	1.69685234989	-0.125696376954	78	23	181	1.89258034894	0.608101936761
ENG	12.2219273519		11.9465196693	-0.275329893082		125	0	76	11.6635530822	12.4875871148	12.4116851637	0.748132081485	-0.0759019511669	9	19	407	10.4388199537	10.1241687396	11.2147313516	0.775911397933	1.09056261199	929	5	689	12.8217488104	12.7816901397	12.4312791682	-0.390516884384	-0.350488158171	178	112	1097	11.359295361	11.995809773	11.704545162	0.345250797042	-0.291263614998	303	51	382	10.9856669313	11.7184404483	12.4468231084	1.46115618495	0.727249601094	271	12	182	13.455761207	13.2721910124	14.5703803862	1.11461917913	1.29818549327	27	72	529	11.4780909995	12.4091472102	11.9925724633	0.514476956223	-0.416582552065	110	50	371	13.7714654998	14.7766916303	12.9698848519	-0.801580647961	-1.80680677837	287	59	515	11.1721022921	13.8874819648	13.6070428412	2.43494054912	-0.297930510488	165	4	179	12.2294718456	12.0981579664	11.8561237007	-0.373350259892	-0.24203426564	100	51	495	11.3050317013	12.5812337155	12.5937794857	1.28874646728	0.0125457701656	556	1	467	11.4373943941	12.3801314214	12.8140156247	1.37662123058	0.433863771781	173	36	413	12.524586736		11.6628234178	-0.861763133833		165	0	154	13.0936667397	12.1987039203	13.4492289543	0.355562013708	1.25052582836	278	59	512	12.4330011901	14.0058076571	12.1870347086	-0.246001454306	-1.81877294855	78	23	181	0.435019484966	-0.266648940319
VCAM1	10.9823227422		11.9756954872	0.993480618495		125	0	76	8.06496571446	10.9606963104	9.33006330404	1.26509758958	-1.63063300636	9	19	407	7.16486114724	7.97096949546	10.5034980373	3.33863689011	2.53252854189	929	5	689	8.81852278281	10.4430086113	10.2884086312	1.46987708851	-0.154623464264	178	112	1097	8.11295529152	10.3066198665	9.29607552006	1.18312028155	-1.01054429341	303	51	382	6.68130731842	8.92754942221	9.83252981386	3.15122521698	0.902395517436	271	12	182	11.5162512387	12.2767353821	14.889836599	3.37358536032	2.61298796536	27	72	529	7.93433696291	10.1825293557	10.0348009406	2.10036111599	-0.147784644359	110	50	371	8.62908605262	10.4561622778	10.7814776319	2.15239157931	0.325315354162	287	59	515	8.79350507556	13.1567824871	11.8263053559	3.03280028033	-1.33331643602	165	4	179	7.94295531523	9.19367074353	8.89430172136	0.951104900847	-0.29936902217	100	51	495	7.00889541572	11.8684243631	9.43313693334	2.42424138808	-2.43528742979	556	1	467	7.1339408293	9.69670595351	10.3633271704	3.22938634111	0.666620936532	173	36	413	6.64056834494		9.91225608372	3.27170831025		165	0	154	8.19053080575	8.5117631309	9.0199082177	0.829388217568	0.508214329129	278	59	512	7.52769665842	9.83548532743	8.11418971929	0.586491823207	-1.72129560813	78	23	181	2.12637634765	-0.226996243217
LAMP1	12.3243293406		12.776886964	0.452681725624		125	0	76	12.5527441771	14.046705926	14.3353378955	1.78259371835	0.288631969434	9	19	407	12.1053939121	12.8129037437	13.2766886124	1.17129470037	0.463784868766	929	5	689	12.6027982999	13.7883557164	14.0096849244	1.40688636516	0.22132091112	178	112	1097	12.4349826532	14.0915062644	14.2765199897	1.8415388668	0.185015255658	303	51	382	12.5506695478	13.9762306722	14.053586558	1.50292698332	0.0760258662705	271	12	182	12.7736045252	13.8323553033	13.8650282502	1.091423725	0.0326568345605	27	72	529	13.1923734588	14.1566758201	14.4908864036	1.29844146357	0.334199658306	110	50	371	13.0228703395	14.7223529221	14.2798064575	1.25693611795	-0.442546464555	287	59	515	12.5660860996	14.5473128534	14.6352537278	2.06916762818	0.0878555487351	165	4	179	12.1731539656	14.0260451397	13.9435905657	1.77043641993	-0.0824545740712	100	51	495	13.1927711748	13.3593374845	13.7956341204	0.602862864875	0.436296635928	556	1	467	12.4724347472	13.86957686	14.0374410615	1.56500631438	0.16774355106	173	36	413	12.4076257012		13.3799683492	0.972357464308		165	0	154	12.5236453253	13.9155947626	14.5192060799	1.99555984445	0.603611359175	278	59	512	12.4711212154	14.1127505783	13.9608451752	1.48972189583	-0.151905403052	78	23	181	1.44830413049	0.127799549898
LAMP2	11.7004692483		12.8310093442	1.13073988632		125	0	76	10.8781603516	12.6737434034	12.7270532254	1.84889287374	0.0533098219552	9	19	407	12.1563220682	12.5376297918	13.2008955231	1.04457345497	0.663265731348	929	5	689	11.3025769976	13.2321215654	13.3492780484	2.04670099951	0.117147953676	178	112	1097	10.8216042398	12.742030279	12.9044955585	2.08289195634	0.162465917101	303	51	382	11.9984026265	13.4651138357	13.462318908	1.46391885048	-0.00420387234815	271	12	182	11.3761376547	13.0489634338	13.743681142	2.36754348731	0.694717581823	27	72	529	12.1463908499	13.6234803381	14.0406158693	1.8941554219	0.417135497268	110	50	371	11.5028484068	13.5823983504	13.5493285576	2.04648015086	-0.0330697927776	287	59	515	11.2595034815	13.9919632447	13.513002001	2.25349851944	-0.483551177308	165	4	179	10.9029504009	13.5931218193	13.4265159037	2.52352366008	-0.166605915592	100	51	495	11.6327942279	13.1014454258	13.7309805386	2.09818630701	0.629535112858	556	1	467	11.2724247999	12.6131368208	13.006563065	1.7341382651	0.393394150147	173	36	413	9.92639258732		11.7985897453	1.87262254833		165	0	154	11.2311033687	12.8769459293	13.5850574332	2.3539542164	0.708111680772	278	59	512	10.9776005892	12.9737151048	13.0494499843	2.07184527269	0.075734879547	78	23	181	2.04659057518	0.0964414166114
