	Adrenal-exp_g	Adrenal-exp_n	Adrenal-exp_t	Adrenal-l2fc_gtex	Adrenal-l2fc_normal	Adrenal-num_g	Adrenal-num_n	Adrenal-num_t	Bladder-exp_g	Bladder-exp_n	Bladder-exp_t	Bladder-l2fc_gtex	Bladder-l2fc_normal	Bladder-num_g	Bladder-num_n	Bladder-num_t	Brain-exp_g	Brain-exp_n	Brain-exp_t	Brain-l2fc_gtex	Brain-l2fc_normal	Brain-num_g	Brain-num_n	Brain-num_t	Breast-exp_g	Breast-exp_n	Breast-exp_t	Breast-l2fc_gtex	Breast-l2fc_normal	Breast-num_g	Breast-num_n	Breast-num_t	Colon-exp_g	Colon-exp_n	Colon-exp_t	Colon-l2fc_gtex	Colon-l2fc_normal	Colon-num_g	Colon-num_n	Colon-num_t	Esophagus-exp_g	Esophagus-exp_n	Esophagus-exp_t	Esophagus-l2fc_gtex	Esophagus-l2fc_normal	Esophagus-num_g	Esophagus-num_n	Esophagus-num_t	Kidney-exp_g	Kidney-exp_n	Kidney-exp_t	Kidney-l2fc_gtex	Kidney-l2fc_normal	Kidney-num_g	Kidney-num_n	Kidney-num_t	Liver-exp_g	Liver-exp_n	Liver-exp_t	Liver-l2fc_gtex	Liver-l2fc_normal	Liver-num_g	Liver-num_n	Liver-num_t	Lung-exp_g	Lung-exp_n	Lung-exp_t	Lung-l2fc_gtex	Lung-l2fc_normal	Lung-num_g	Lung-num_n	Lung-num_t	Pancreas-exp_g	Pancreas-exp_n	Pancreas-exp_t	Pancreas-l2fc_gtex	Pancreas-l2fc_normal	Pancreas-num_g	Pancreas-num_n	Pancreas-num_t	Prostate-exp_g	Prostate-exp_n	Prostate-exp_t	Prostate-l2fc_gtex	Prostate-l2fc_normal	Prostate-num_g	Prostate-num_n	Prostate-num_t	Skin-exp_g	Skin-exp_n	Skin-exp_t	Skin-l2fc_gtex	Skin-l2fc_normal	Skin-num_g	Skin-num_n	Skin-num_t	Stomach-exp_g	Stomach-exp_n	Stomach-exp_t	Stomach-l2fc_gtex	Stomach-l2fc_normal	Stomach-num_g	Stomach-num_n	Stomach-num_t	Testis-exp_g	Testis-exp_n	Testis-exp_t	Testis-l2fc_gtex	Testis-l2fc_normal	Testis-num_g	Testis-num_n	Testis-num_t	Thyroid-exp_g	Thyroid-exp_n	Thyroid-exp_t	Thyroid-l2fc_gtex	Thyroid-l2fc_normal	Thyroid-num_g	Thyroid-num_n	Thyroid-num_t	Uterus-exp_g	Uterus-exp_n	Uterus-exp_t	Uterus-l2fc_gtex	Uterus-l2fc_normal	Uterus-num_g	Uterus-num_n	Uterus-num_t	l2fc_gtex	l2fc_normal
CD47	10.8282512363		11.7656084348	0.937404045849		125	0	76	11.0271489321	12.6135778041	12.4829097325	1.45576080036	-0.130668071623	9	19	407	11.9431978559	12.9782593704	12.2285798905	0.285382034533	-0.749679479977	929	5	689	11.0641752326	12.7023136123	12.2912880136	1.22709011576	-0.411026142434	178	112	1097	10.9859628169	12.1400111778	12.4408928899	1.45493738659	0.300889025679	303	51	382	11.2460651098	12.7728797124	12.7191885991	1.47316826804	-0.0536621744722	271	12	182	10.3188475596	11.5191006208	12.2842562694	1.96540870984	0.765155491561	27	72	529	10.1218004665	10.8426811499	11.3413568366	1.21954329935	0.498672721908	110	50	371	12.0268572995	14.4205245368	13.6658229918	1.6389656923	-0.754701545028	287	59	515	10.4739356002	13.289301713	13.0618876225	2.58795202231	-0.244747008029	165	4	179	11.3764394359	13.0911686653	12.656581793	1.28013600054	-0.434586872228	100	51	495	10.9257913463	12.607385191	12.1054841722	1.17969280595	-0.501901018791	556	1	467	11.2741995484	12.011345317	12.5745242885	1.30032474011	0.561182082597	173	36	413	10.0758580037		11.6607583138	1.58490054469		165	0	154	11.1693198111	12.5739746239	13.524894275	2.35557352512	0.950921781933	278	59	512	10.6495129443	12.3992423751	12.5671986805	1.91767743704	0.167956305392	78	23	181	1.45534909348	-0.187707539826
CD48	4.9576546395		5.60654188074	0.648937716529		125	0	76	5.98165253307	9.56018577727	7.67163486746	1.6899823344	-1.88855090981	9	19	407	3.97734022272	4.36379573327	5.80186715712	1.82452693441	1.43807142386	929	5	689	5.77917304486	8.62664570829	8.92548637182	3.1462817085	0.298839893889	178	112	1097	6.06661856305	10.4039965841	7.89661427997	1.83000719908	-2.50737082202	303	51	382	5.94783758579	8.02740024044	7.9467476921	1.9989551189	-0.209188125878	271	12	182	5.35220818078	6.75337654921	10.14665062	4.79444243925	3.39296921959	27	72	529	6.59718249056	8.31423147476	8.04509302303	1.44785763709	-0.269166093106	110	50	371	8.46079215188	10.557893662	9.98026305932	1.51947090744	-0.577630602645	287	59	515	4.95019309934	10.7420442314	9.42840066968	4.47820757034	-1.31431860385	165	4	179	6.16999169032	8.24076512983	7.89695285626	1.72695545443	-0.343812273575	100	51	495	4.57715179342	12.64785731	8.70806604553	4.13091423207	-3.93979126444	556	1	467	6.61331108927	10.0132929715	9.40066077317	2.78734968391	-0.626682515148	173	36	413	5.93976691078		9.68645491566	3.74696099623		165	0	154	5.6750702046	7.86260297337	7.97829648987	2.30322462778	0.115694227671	278	59	512	5.09896509627	8.43261480189	8.04903808495	2.95005783111	-0.383576716944	78	23	181	2.15108987334	-0.480603659795
ITGA1	12.367773487		13.1824810291	0.814870779833		125	0	76	12.1201501134	11.8402558562	10.732616812	-1.38753330136	-1.10763904413	9	19	407	9.00433208439	8.1173490312	9.33672564288	0.332393558489	1.21937661168	929	5	689	11.2155957189	12.2181712067	11.2245585106	0.00896279120588	-0.993612991081	178	112	1097	12.8532062448	11.7366148997	11.6601674739	-1.19303445886	-0.0764431138432	303	51	382	10.3237871353	11.5929095393	11.7935270728	1.46975155018	0.198202576293	271	12	182	11.3228259325	12.1294982396	13.8155553823	2.49272944981	1.68600115592	27	72	529	12.2145347988	12.5729831057	12.6956465328	0.481062821993	0.122649931159	110	50	371	12.5260005461	13.2503711824	11.9522794274	-0.573721118719	-1.29809175499	287	59	515	9.42024174822	13.4563887748	12.9697599885	3.54951824032	-0.487360320287	165	4	179	11.6860888136	12.6953442063	11.4048992957	-0.281198718782	-1.29044491061	100	51	495	9.1024769798	9.51161629046	10.2345898425	1.13211255309	0.722973552037	556	1	467	10.7753574501	11.9138390856	12.3613626467	1.58600519662	0.447211639577	173	36	413	7.93288296998		9.77948212282	1.84664114078		165	0	154	11.3215336121	11.4343502158	11.3512634605	0.0297323869078	-0.0830840371143	278	59	512	11.4133621015	12.3016276804	10.5175665694	-0.895827472927	-1.78406111104	78	23	181	0.406728190241	-0.285222178701
ITGA2	10.215115403		9.29077620081	-0.918340381597		125	0	76	8.99759834637	11.2589095774	11.2171193808	2.21952103439	-0.0417901966797	9	19	407	7.67278191736	7.88124365927	8.43358738934	0.76080547198	0.552343730077	929	5	689	8.30567913062	11.7580900756	10.8317696312	2.52576388797	-0.926461222581	178	112	1097	7.93089563158	10.7594691432	12.1037791911	4.17289257728	1.34431906564	303	51	382	10.5713313519	10.9822019464	12.5704083397	1.99908354713	1.5706393231	271	12	182	9.27986368163	11.4141684698	11.1114548489	1.83159116731	-0.302716373627	27	72	529	5.7102032947	6.08574791863	8.01199443171	2.30179105599	1.92624647963	110	50	371	10.2601300208	10.9907947715	11.9832251463	1.72309512553	0.992430374812	287	59	515	7.2266314216	12.5005484542	12.9019534587	5.67532203713	0.40100017449	165	4	179	8.83512562681	11.1376942445	9.50688543605	0.671749610748	-1.63080880847	100	51	495	9.88304346489	8.75224232719	9.23780493904	-0.645238529076	0.485562611848	556	1	467	7.74296174735	10.6788129655	12.0395193345	4.29655758712	1.36070625136	173	36	413	5.18862539475		7.9378523097	2.74933817233		165	0	154	7.25667877238	8.55505574406	11.3658119482	4.10913337899	2.81075640757	278	59	512	7.18670494366	9.3974016246	8.61054795726	1.42372905373	-0.786853667345	78	23	181	2.10930229076	0.443281393169
ITGA3	11.5739091968		11.4178789832	-0.156017960049		125	0	76	11.699953695	13.4881572898	14.1523175923	2.45236389734	0.664160302478	9	19	407	9.75020552741	10.2742224182	10.1526372817	0.402431754317	-0.121585136445	929	5	689	10.8519576343	12.3491015575	11.8467182337	0.99476044285	-0.502394122665	178	112	1097	11.0290716083	13.4086323368	12.4871649204	1.45809582948	-0.921464898973	303	51	382	11.372138832	12.9556529977	14.1075628013	2.73542976383	1.1519107001	271	12	182	12.8321534771	12.8450937381	13.927899391	1.09574591388	1.08278223079	27	72	529	7.9133885723	8.24682933374	8.79991456003	0.886523758962	0.552990907174	110	50	371	12.7109722641	14.7306506822	14.5933644195	1.88239215534	-0.137286262733	287	59	515	10.6014644884	13.6113525757	14.830300387	4.22883589864	1.11058107942	165	4	179	11.3231719559	12.4525440512	11.3781822433	0.054996836919	-1.07436180787	100	51	495	11.5475963173	12.1683652338	13.4026139758	1.85501765738	1.23424874206	556	1	467	11.2470139178	13.1854284216	13.4001046711	2.15309075325	0.21467581335	173	36	413	8.18382356457		9.75347893435	1.56981809081		165	0	154	12.4711656847	13.4517244752	15.4737757695	3.00261002175	2.02205146278	278	59	512	10.9163894281	12.3177886042	12.1112192456	1.19482718752	-0.206569358678	78	23	181	1.51395696014	0.0465453384524
ITGA4	5.66150430222		5.3438496325	-0.317547478431		125	0	76	7.27571236198	8.35434214775	7.46672622066	0.191013858678	-0.887615927085	9	19	407	5.11440006928	5.11451235897	6.43070992032	1.31630985104	1.31619756135	929	5	689	6.70922778404	8.42802487976	8.84587970804	2.13665192399	0.41770957541	178	112	1097	7.06448551523	9.77495167391	8.52623812312	1.46187991906	-1.24858623962	303	51	382	5.827821137	8.52939282741	8.97701480094	3.14919955845	0.447128169156	271	12	182	6.01553324104	7.70360837364	10.5824671386	4.56693389752	2.87816800375	27	72	529	6.62771946786	7.49286355201	6.73777894658	0.11005808854	-0.755087553533	110	50	371	8.74524398115	10.4620509146	9.65862195748	0.913377976329	-0.80342895712	287	59	515	5.41892160643	10.3903875281	9.42620623264	4.00728462621	-1.01587155985	165	4	179	6.13758322528	7.75760530001	7.13491341444	0.997328801939	-0.622691885567	100	51	495	5.29012223613	10.2054770686	8.67592309543	3.38580085048	-1.5295539732	556	1	467	6.68794958759	8.76529557982	9.61110635282	2.92315676523	0.826268994166	173	36	413	4.30958221398		8.49692622029	4.18735641741		165	0	154	6.18914468701	7.28110729876	7.60657420155	1.41742951243	0.325466969892	278	59	512	5.81503154116	7.14587467166	7.23084988551	1.41578989054	0.0849752138555	78	23	181	1.43965471574	-0.68888971955
ITGA5	11.5010811796		12.2977965188	0.796733104038		125	0	76	14.9660164402	14.7247712864	12.4305267285	-2.53548971177	-2.29424455796	9	19	407	8.40260234347	8.2638349089	9.75664631559	1.35404397213	1.49281140669	929	5	689	12.1060892522	11.9024098522	12.1796146905	0.0735252871038	0.277181670057	178	112	1097	13.741341336	11.489741429	11.5996159649	-2.14172025216	0.109879654894	303	51	382	11.7215763779	12.5162244848	12.9779604571	1.25644033935	0.450435432377	271	12	182	10.5461214553	10.5915634993	13.4798364804	2.93371502513	2.88816263593	27	72	529	11.664763504	11.6623478265	12.7239403341	1.0591761562	1.06151824875	110	50	371	12.8769028057	13.3295304335	12.2741020765	-0.602800729148	-1.05542835695	287	59	515	10.2150878273	13.3774314296	13.4619227642	3.24683493688	0.0672781105669	165	4	179	12.9908622288	12.5830525201	11.5992002937	-1.39167345988	-0.98385222634	100	51	495	11.4838218916	10.9731636641	11.5643187207	0.0804908461958	0.591155056614	556	1	467	11.8957381826	12.2312551383	12.6920797665	0.796341583899	0.460811700543	173	36	413	8.40814900653		11.5175218926	3.10940486718		165	0	154	11.4538881303	10.6463183787	11.7047778641	0.250890392372	1.05846015228	278	59	512	12.462648095	12.6106725667	11.3141118534	-1.14861109595	-1.29656071324	78	23	181	0.523615988136	0.193530662475
ITGA6	7.95395290925		9.68851321473	1.73520661462		125	0	76	11.5933123498	13.2393672568	12.7064716798	1.11315932994	-0.53289557698	9	19	407	10.3791469933	10.5128159855	11.3847863174	1.00563932411	0.871970331967	929	5	689	11.7607525188	13.3232206207	12.0605670369	0.299814516812	-1.26267156101	178	112	1097	10.7290619065	13.8348256265	14.2256843396	3.49663052815	0.390866808069	303	51	382	11.1753166977	14.284848055	14.5824766866	3.40716059489	0.290222811576	271	12	182	11.3782923881	12.6009733798	13.5567508616	2.17845847352	0.955729301955	27	72	529	9.3007423618	9.88924893441	11.6986984462	2.39790345618	1.80941319861	110	50	371	10.9254562403	12.6650755867	11.5921961536	0.666739913311	-1.07287943312	287	59	515	11.8165064754	12.355346365	14.1236759773	2.3071695019	1.76424769834	165	4	179	10.7594203586	12.9711734201	12.3416793851	1.58225191471	-0.629494035035	100	51	495	11.4469206733	12.2677913826	12.0785484503	0.631627400215	-0.189242932374	556	1	467	11.6958650434	12.9500927204	13.9072262513	2.21136120796	0.95663072667	173	36	413	10.5019365176		12.2674843228	1.76560381804		165	0	154	10.3962583687	11.080405246	12.1590857605	1.76282713931	1.07868080036	278	59	512	11.335333735	13.1909880385	12.0996549977	0.76432031333	-1.0913330408	78	23	181	1.74901687697	0.0504899396011
CD5	3.85226648421		5.28157354707	1.42966116569		125	0	76	4.96194750828	8.2245424636	6.75095352307	1.78900601479	-1.47358894053	9	19	407	3.72686951226	5.48107139566	3.81999277721	0.0931232649451	-1.66107861845	929	5	689	5.00087044986	6.74108754879	7.53578081621	2.53490322268	0.794691449503	178	112	1097	4.56766712687	8.41780932283	8.01660350625	3.44894532258	-0.401196873388	303	51	382	5.34462092033	7.66515679227	7.20335405768	1.85913664826	-0.4734139005	271	12	182	4.35392189608	5.05210368998	8.531709104	4.17778720792	3.47936553593	27	72	529	4.92135055288	6.29568625592	6.74282425424	1.82143784937	0.447103072124	110	50	371	7.13269064568	8.96291243067	8.90540974024	1.77271909456	-0.0575026904322	287	59	515	4.63041262804	9.33633081346	8.70368767063	4.07327504258	-0.632699180241	165	4	179	5.25319512002	6.71181142107	6.70057402487	1.44718758683	-0.0112373961968	100	51	495	5.016634623	10.7718983186	7.54783931434	2.53120430081	-3.22405900427	556	1	467	6.31011804799	8.67245587511	8.63381437966	2.32369633167	-0.0386734843356	173	36	413	5.86443467704		8.407367195	2.54298549703		165	0	154	4.93296229653	6.53794574703	6.87971775708	1.94673390441	0.341778736714	278	59	512	4.52914732003	6.98839328291	6.95509962879	2.42581525869	-0.0332936541121	78	23	181	2.13521511804	-0.22934978191
ICAM3	7.27910231987		9.19312903911	1.91430632212		125	0	76	7.2809369078	9.72011957536	9.62553905991	2.34460215211	-0.0945805154515	9	19	407	6.99585135775	6.48802564147	7.12805666341	0.132205305668	0.640031021943	929	5	689	7.82981248842	9.17666205127	9.6299117818	1.8000985948	0.453240575068	178	112	1097	7.55202107129	10.9365133658	9.80833056806	2.25630960715	-1.12818268733	303	51	382	7.73043189185	9.28567637126	8.64824649754	0.917846933991	-0.651413235204	271	12	182	8.23475015553	8.31365164407	10.1833119292	1.94856177368	1.86965959022	27	72	529	10.6989892727	10.7958763567	10.687241207	-0.0117577412315	-0.108644289753	110	50	371	9.31593662093	10.5742772861	10.5516854876	1.23574886667	-0.0225917985192	287	59	515	8.25425204264	10.4702382023	10.3405191688	2.08626712619	-0.150872231172	165	4	179	7.68700532123	9.68903753032	9.86940606809	2.18239941791	0.180368537767	100	51	495	6.89356571371	11.6881061685	9.8980802992	3.00451407868	-1.79002586935	556	1	467	8.43862670506	10.6936452452	9.73029155146	1.29166484639	-0.997344192983	173	36	413	6.49697266857		9.49658582077	2.9996166773		165	0	154	7.42947569632	9.06637643062	9.70902220691	2.27954649012	0.642645814183	278	59	512	6.71024632905	9.1519365961	9.72539450018	3.01514780832	0.573457904085	78	23	181	2.01741444993	-0.101612402602
ITGAV	11.6346628193		11.6219030093	-0.0127097498806		125	0	76	11.2595638847	12.5870036138	12.416465664	1.15690177931	-0.170537949804	9	19	407	11.6220956927	12.118061872	13.2003347424	1.57823904971	1.08227287037	929	5	689	11.0432296961	12.7050035092	12.8205749863	1.77733297206	0.115571403733	178	112	1097	10.909893	12.048372773	12.1874344559	1.27754159453	0.139061821529	303	51	382	10.4976096546	13.2971761636	13.4689710689	2.97138052624	0.171736438586	271	12	182	11.5469029744	13.6241551939	14.0137736172	2.46687064287	0.389590370855	27	72	529	10.1831065935	10.7159251248	11.5491405967	1.36602532941	0.833046208588	110	50	371	11.4195776978	12.671603598	13.2993870075	1.87980930966	0.627783409522	287	59	515	11.0274698783	14.6294714728	13.9631288716	2.93565899329	-0.666398710634	165	4	179	10.6475800132	12.5867196966	12.2624883631	1.61489200048	-0.324231333535	100	51	495	11.0514535052	11.7062712309	12.1887982205	1.13734469802	0.482526989623	556	1	467	11.0433911429	12.4779660113	13.032773733	1.98938259014	0.552376652873	173	36	413	9.90420253021		10.7661056788	0.861905257922		165	0	154	11.4114408885	12.9984938006	13.7751481131	2.36370961308	0.776656878795	278	59	512	11.5644570724	12.754600121	11.8289278815	0.264440587278	-0.925672239483	78	23	181	1.59656552509	0.155399130058
ICAM1	9.31305544545		8.79009023474	-0.522881602064		125	0	76	8.65325195962	11.4798340686	11.4844501159	2.83119815627	0.0046160473248	9	19	407	7.88827724524	8.37785502773	9.06045762806	1.17218038283	0.682602600328	929	5	689	10.2766587968	10.7634188709	11.2157744711	0.939111912054	0.452346511799	178	112	1097	9.34508788094	10.6196487336	11.1909729104	1.84588512503	0.571324272328	303	51	382	8.65450025483	10.0857690234	11.7453401509	3.09084014433	1.65848130218	271	12	182	10.4331645027	10.5953773943	12.9108150638	2.47765056108	2.31533303356	27	72	529	10.9005301184	11.7262798761	12.0884902656	1.18795587198	0.361903101119	110	50	371	13.0642991187	15.1285002204	14.4293143658	1.36501524706	-0.69918585461	287	59	515	8.76335207384	14.0800578158	12.7458785229	3.98252644902	-1.38498539269	165	4	179	9.39058474419	10.1214889511	10.2991738072	0.908485879956	0.177684856114	100	51	495	9.52513549244	13.9153507939	13.2386548871	3.71351642568	-0.676695906774	556	1	467	9.42380805861	11.2362927833	12.1238726223	2.7000645637	0.88742742587	173	36	413	7.6210147968		10.7919774038	3.17096882003		165	0	154	10.2884479689	10.1570975759	13.1388677404	2.85044529169	2.98179570825	278	59	512	9.0022063976	10.3997583293	11.0624240094	2.06019052269	0.662665680102	78	23	181	2.26892054189	0.407124806459
CD55	12.211477293		11.7996357675	-0.411566502377		125	0	76	10.6389224971	12.8132890174	11.8580940653	1.21917156823	-0.955194952092	9	19	407	9.07848772281	9.49996810017	8.29737999736	-0.781107725457	-1.20258810281	929	5	689	10.3280786096	11.9308857113	11.7818954885	1.45381481683	-0.149007761518	178	112	1097	9.91759824975	11.7572223103	12.4141762285	2.4965959005	0.656971839959	303	51	382	11.0507379136	11.9917459175	12.5935345994	1.54280347361	0.6016707047	271	12	182	9.60228644401	10.5646927564	10.7306937223	1.12840727828	0.165984329725	27	72	529	9.42891626377	9.94571833882	9.97032475655	0.541293683566	0.024592373797	110	50	371	12.7721216794	15.1835817479	14.1413080664	1.36918638707	-1.04227368145	287	59	515	9.21827898652	11.9148652452	13.7814865228	4.56320753627	1.85466869323	165	4	179	8.97617568015	10.7556035244	9.81707325379	0.840806078746	-0.93853027056	100	51	495	11.8044619413	11.1217861392	11.7359132965	-0.0685487607468	0.614127157327	556	1	467	9.62889531661	12.2562514758	13.3529595863	3.72406426972	1.0965769862	173	36	413	9.81192623936		10.3032249082	0.491298670656		165	0	154	9.58355903121	11.0703115264	13.4457245349	3.86216907988	2.37541669533	278	59	512	9.71065298442	12.1295454794	11.7846365059	2.07398300398	-0.344908973507	78	23	181	1.29417897765	-0.0622076938606
NCAM1	11.9999119894		12.4505277869	0.451470515525		125	0	76	12.1894386606	11.7010723729	5.97319707191	-6.21624158869	-5.72787530098	9	19	407	13.6448880387	14.7992723013	14.9006144332	1.25572639445	0.101342131904	929	5	689	7.66060099764	9.30011988914	6.54334598371	-1.11725596644	-2.75677801219	178	112	1097	11.541489175	10.1332179781	7.04410094062	-4.49738138089	-3.08911018395	303	51	382	8.18181180851	10.5705864147	6.50954043736	-1.67224367582	-4.06132018205	271	12	182	6.77498502981	7.78701452457	7.59531000056	0.820324970749	-0.192894878542	27	72	529	7.63096424633	7.98445111781	4.90336264656	-2.72765899709	-3.08127662363	110	50	371	7.2369601038	8.35607646113	6.71026259518	-0.526697508625	-1.64581386596	287	59	515	7.74992443208	11.3876312975	9.42227804396	1.67235361188	-2.42974420081	165	4	179	9.94610940372	10.40758191	8.15710663231	-1.78907175348	-2.2504752777	100	51	495	7.34558180138	4.93971820058	8.15111245652	0.805530594287	3.21139425593	556	1	467	10.608957427	10.6816281961	7.55848361355	-3.05047381346	-3.12318640588	173	36	413	8.90069299161		8.11020910028	-0.790461538356		165	0	154	10.940995071	12.6374662467	10.4177825902	-0.523196094703	-2.21965185463	278	59	512	12.5956128849	12.8649088872	7.77824277109	-4.81738026381	-5.08666611615	78	23	181	-0.953858752396	-2.91902731791
CD58	7.49599500407		8.3825930502	0.886674725663		125	0	76	7.8107510021	9.2622654471	9.49022738372	1.67947638161	0.227961936614	9	19	407	6.77216391869	6.14504717916	7.370094896	0.597930977307	1.22504771684	929	5	689	8.04159445325	8.72440132908	8.6596491908	0.618052123587	-0.0647537406726	178	112	1097	7.92952082018	9.77776040197	9.40570445625	1.47618367652	-0.372055905275	303	51	382	8.75497656189	9.03481244223	9.77102009651	1.01605011264	0.736163189563	271	12	182	8.22891689766	8.62924563621	9.80820105529	1.57928415763	1.17895540156	27	72	529	7.09482320857	7.39179171482	8.53392559047	1.43910148851	1.14212957072	110	50	371	8.9145590541	10.1260789987	9.5602810068	0.645721952705	-0.565797991883	287	59	515	6.90264534249	10.1469093932	10.2688502159	3.36620487338	0.120764028072	165	4	179	7.32355985014	8.09849878463	7.88062950187	0.557067978413	-0.21786928276	100	51	495	8.19495302684	9.51400951393	9.45444384834	1.25948944816	-0.059565665594	556	1	467	7.73883556947	9.54651770004	9.64133137415	1.90249580467	0.0947487851749	173	36	413	6.71069227368		7.57744623361	0.866859363364		165	0	154	7.80351671719	8.23533717241	9.50669132848	1.70317382172	1.27135450802	278	59	512	7.71052969424	8.64440749864	8.86359421911	1.15305270168	0.219186720468	78	23	181	1.20627107492	0.107756406624
CD59	12.6814066523		14.3811914035	1.69980280579		125	0	76	12.720916435	14.3231354898	13.8251088112	1.1041923762	-0.4980266786	9	19	407	12.8972487233	12.9437167913	13.3487850501	0.451536326782	0.40506825879	929	5	689	13.5124232503	14.8750163935	14.1062267008	0.593788944558	-0.768834100576	178	112	1097	12.5679201916	13.8403393442	13.0811231553	0.513208448911	-0.759210703669	303	51	382	13.2140099982	14.2366153818	13.6124018428	0.398392437201	-0.624297241613	271	12	182	13.1597077453	14.5327371943	14.7591457024	1.59943795712	0.226400916472	27	72	529	12.1787570204	13.2916366729	13.7450609376	1.56629276274	0.453422739333	110	50	371	13.8013678173	15.2178851221	14.393401316	0.592033498663	-0.824483806108	287	59	515	12.3937405729	15.6150578875	15.3732876329	2.97954706003	-0.243971203433	165	4	179	12.3325306937	14.1052216847	13.3460195719	1.01347922487	-0.759202112857	100	51	495	12.8140875678	14.3515534643	14.9128291556	2.09874000325	0.561275691247	556	1	467	12.9572623953	14.1019364448	13.4172885418	0.460026146535	-0.685185921069	173	36	413	11.3271453923		12.0406112343	0.713511013078		165	0	154	12.9831215364	13.8576897975	14.8628319957	1.87971017693	1.00514221041	278	59	512	12.6019915182	14.4028938759	13.4084791692	0.806485697192	-0.994414706794	78	23	181	0.909982461033	-0.654741581341
CD6	4.55083191267		5.63325159199	1.08241968179		125	0	76	6.11895123549	8.69280309713	7.53117288261	1.41222164712	-1.16163021452	9	19	407	5.49820522705	6.01586961383	4.83203765281	-0.666167574238	-1.18383196101	929	5	689	5.54366264347	7.37557876072	8.10841699785	2.56475049504	0.732834431065	178	112	1097	5.55432225001	8.90928295681	8.08901834699	2.53470125461	-0.82025945219	303	51	382	6.48284694443	7.57775280232	7.9305436161	1.44773369803	0.330997038998	271	12	182	5.23967115385	5.54654639567	8.92988282301	3.69021166915	3.38332353605	27	72	529	6.21247580438	6.95780796497	7.27409572576	1.06135735488	0.315703482588	110	50	371	8.0623805783	9.59664429651	9.42772778526	1.36534720696	-0.168916511249	287	59	515	5.33754492194	10.1754045006	9.20960717398	3.87206225204	-0.969899365818	165	4	179	5.75141620497	6.86329395004	7.084209393	1.33278220765	0.22091544296	100	51	495	5.48959756043	10.9516968759	8.03005667514	2.54045610199	-2.92164020076	556	1	467	7.18677166086	8.45076561801	8.79055566681	1.60378400596	0.338122647598	173	36	413	5.84281280201		9.03524314689	3.19244039494		165	0	154	5.84977132943	7.07261514928	7.45741010287	1.60748008689	0.384797756089	278	59	512	4.91714124869	7.67312946659	7.72480633032	2.80764374875	0.0516768637275	78	23	181	1.60563204642	-0.058619823761
ITGB3	4.86999864942		4.79680356278	-0.0731896452773		125	0	76	8.6610382495	9.51667054859	6.49057272231	-2.17046552719	-3.02609782628	9	19	407	4.71615159114	4.57491988153	5.6809114383	0.964759847155	1.10599155676	929	5	689	8.23809009137	8.83108871872	7.64520996294	-0.592900777721	-1.18587885568	178	112	1097	9.58287741585	8.65457523078	7.56065007896	-2.0222273334	-1.09392514833	303	51	382	6.64810974437	8.50569683703	8.36780342543	1.71969429378	-0.137963446595	271	12	182	9.63163481972	10.4719762111	10.0277411286	0.396106308873	-0.444245754509	27	72	529	6.59030468151	7.12756515586	6.50326805002	-0.0870541331772	-0.62438639202	110	50	371	8.16829297451	8.27477669483	8.25274969649	0.0844567219801	-0.0220269983451	287	59	515	4.74603885052	9.22269593823	8.84156022563	4.09552137511	-0.398617527242	165	4	179	7.78013520994	8.8352755804	7.1698053891	-0.610349756654	-1.6654701913	100	51	495	7.15358160223	9.961659662	10.8071048245	3.65352280584	0.845445162486	556	1	467	7.55921074903	8.8885595898	8.6246470614	1.06543631237	-0.264160146464	173	36	413	7.00729366588		6.62235750185	-0.384730947459		165	0	154	10.5513701517	12.0468372226	12.4616831751	1.91025292101	0.414852622651	278	59	512	9.05736392942	9.38039223219	6.93794192602	-2.11983112488	-2.44245030617	78	23	181	0.0056335383514	-0.534316073265
SELL	4.88055819633		5.53231011926	0.651755801525		125	0	76	6.10563954325	9.50620385055	8.77870606769	2.67306652444	-0.727497782864	9	19	407	6.84894129716	6.67538381883	9.77896209773	2.93002080058	3.10357827891	929	5	689	6.21810508593	7.72267437376	8.7631909045	2.54508564233	1.04034299908	178	112	1097	5.32795538898	8.80154614331	7.49096554412	2.16302503681	-1.31056571753	303	51	382	5.4949563685	7.11555150048	8.05637945901	2.5615905058	0.91890277698	271	12	182	6.44374148941	7.74371342407	9.21837438889	2.77463289947	1.47445964444	27	72	529	7.1148045449	8.10369530532	7.48561823038	0.370813461422	-0.61815910692	110	50	371	9.4090402426	10.214486395	9.82075204974	0.411711807141	-0.393734345266	287	59	515	4.75397566551	10.0441489305	9.78117766838	5.02720200287	-0.289126500194	165	4	179	5.45488550022	7.79735741532	7.12265165848	1.6677523227	-0.674705756836	100	51	495	4.03994906065	13.0236951463	8.67189198502	4.63193927618	-4.35180316125	556	1	467	5.57127183363	8.53648861807	9.29461212392	3.7233402903	0.746390127303	173	36	413	4.67512224063		9.21531940057	4.54051826361		165	0	154	5.92701927081	7.26516716933	8.92445887586	2.99743834607	1.65929206811	278	59	512	4.92425994474	7.40830072009	7.29801683995	2.37265824513	-0.110283880146	78	23	181	2.61732851512	-0.34143042273
